"zip_code","count"
"10168","113"
"55102","113"
"33141","113"
"60642","113"
"21211","113"
"21224","113"
"44139","112"
"21046","112"
"98107","112"
"53527","112"
"08054","111"
"22033","111"
"12207","111"
"55447","111"
"94566","111"
"84060","111"
"92131","111"
"91301","110"
"77084","110"
"01760","110"
"89101","110"
"34108","110"
"20009","110"
"75070","110"
"60565","110"
"CAYMAN","110"
"37219","109"
"80124","109"
"94024","109"
"75081","108"
"97214","108"
"33304","108"
"40507","108"
"68508","108"
"28204","108"
"11354","108"
"02169","108"
"64108","108"
"33477","108"
"06070","107"
"06511","107"
"90265","107"
"75220","107"
"94903","107"
"29602","107"
"30350","107"
"80525","107"
"53045","107"
"91103","107"
"20193","107"
"85034","106"
"06851","106"
"77063","106"
"30161","106"
"84107","105"
"32202","105"
"94904","105"
"33132","105"
"77005","105"
"75238","104"
"91105","104"
"07042","104"
"10504","104"
"75230","104"
"02118","104"
"19002","104"
"73013","104"
"94403-1906","103"
"07094","103"
"60069","103"
"02215","103"
"33433","103"
"35801","103"
"28228-0166","103"
"94158","103"
"00907","103"
"77401","103"
"94556","102"
"33458","102"
"94066","101"
"38117","101"
"33316","101"
"55441","101"
"78006","101"
"44333","101"
"22030","101"
"21045","101"
"97701","100"
"78232","100"
"80303","100"
"32821","100"
"98036","100"
"07652","99"
"29607","99"
"27709","99"
"89120","99"
"92672","99"
"74137","99"
"21230","99"
"30346","98"
"02466","98"
"33483","98"
"60622","98"
"02132","98"
"19096","98"
"90277","98"
"48076","97"
"85012","97"
"63144","97"
"07450","97"
"80216","97"
"02143","97"
"37064","97"
"20151","96"
"11743","96"
"78216","96"
"33324","96"
"97223","96"
"19341","96"
"27601","95"
"85028","95"
"74119","95"
"10523","95"
"94501","95"
"94028","95"
"18940","94"
"47710","94"
"89107","94"
"07004","94"
"83616","94"
"02482","94"
"33127","94"
"07928","94"
"70809","94"
"10591","94"
"90034","94"
"97210","94"
"35211","93"
"78717","93"
"06001","93"
"11215","93"
"01887","93"
"61820","93"
"97401","93"
"07666","93"
"19802","93"
"78750","92"
"75209","92"
"95661","92"
"34102","92"
"19112","92"
"31401","92"
"20910","92"
"22203","92"
"95050","92"
"78734","92"
"53717","92"
"95030","92"
"98105","92"
"42103","92"
"07921","91"
"33069","91"
"10118","91"
"90230","91"
"06484","91"
"72211","91"
"02043","91"
"19067","91"
"30075","91"
"11222","91"
"60527","90"
"19106","90"
"89706","90"
"46802","90"
"33156","90"
"77008","90"
"90038","90"
"94560","90"
"73134","90"
"80503","90"
"89145","90"
"07311","89"
"95129","89"
"90013","89"
"89113","89"
"08807","89"
"95060","89"
"53719","89"
"07719","89"
"94002","89"
"46278","89"
"33404","89"
"30144","89"
"81620","89"
"41101","89"
"77055","88"
"02420","88"
"55415","88"
"19805","88"
"48098","88"
"91203","88"
"84058","88"
"34471","88"
"98110","88"
"92103","88"
"22903","88"
"07470","87"
"44145","87"
"11716","87"
"07940","87"
"85718","87"
"15212","87"
"60126","87"
"92109","87"
"03079","87"
"15237","87"
"98034","87"
"37075","87"
"11590","86"
"06510","86"
"93401","86"
"90802","86"
"27511","86"
"93105","86"
"92011","86"
"02467","86"
"02021","85"
"19154","85"
"20008","85"
"19810","85"
"23235","85"
"74105","85"
"89146","85"
"77070","85"
"17601","85"
"92694","85"
"91107","85"
"10952","85"
"11205","85"
"59715","85"
"11231","85"
"98115","85"
"70115","85"
"70112","84"
"63102","84"
"27707","84"
"70113","84"
"60091","84"
"95814","84"
"77092","84"
"02090","84"
"08873","84"
"15090","84"
"10009","84"
"72712","84"
"03755","84"
"23238","83"
"91364","83"
"02184","83"
"07920","83"
"32207","83"
"08701","83"
"77381","83"
"10606","83"
"89123","83"
"76054","83"
"19428-2881","83"
"KY1-1104","83"
"11803","82"
"60070","82"
"02472","82"
"94545","82"
"92064","82"
"06032","82"
"53005","82"
"46202","82"
"28288","82"
"15206","82"
"28210","81"
"33634","81"
"45246","81"
"97232","81"
"98225","81"
"94555","81"
"94925","81"
"21204","81"
"37201","81"
"21208","81"
"30341","81"
"46804","81"
"37204","81"
"44022","81"
"39157","81"
"95128","81"
"11791","80"
"33605","80"
"68114","80"
"93013","80"
"48334","80"
"77040","80"
"33434","80"
"85008","80"
"33445","80"
"14604","80"
"32803","80"
"14202","80"
"00901","80"
"17402","80"
"33626","80"
"10176","80"
"97212","80"
"02135","79"
"02462","79"
"35233","79"
"91423","79"
"97008","79"
"14618","79"
"89104","79"
"33444","79"
"80218","79"
"95138","79"
"32216","79"
"60613","78"
"02886","78"
"91355","78"
"15143","78"
"78217","78"
"18901","78"
"76226","78"
"75082","78"
"28207","78"
"34109","78"
"94087","78"
"77094","77"
"22202","77"
"19046","77"
"40222","77"
"38655","77"
"28226","77"
"41102","77"
"30096","77"
"20176","77"
"94597","77"
"55428","76"
"35244","76"
"63146","76"
"79705","76"
"95816","76"
"77054","76"
"78756","76"
"36830","76"
"11501","75"
"77064","75"
"75207","75"
"07083","75"
"97239","75"
"07724","75"
"33009","75"
"74133","75"
"37130","75"
"66213","75"
"63043","75"
"94027","75"
"93003","75"
"15203","75"
"28078","75"
"10041","74"
"77067","74"
"30062","74"
"90803","74"
"98108","74"
"94954","74"
"33760","74"
"11779","74"
"58102","74"
"15238","74"
"32541","74"
"11238","74"
"93940","74"
"27614","74"
"55403","73"
"28217","73"
"19610","73"
"46256","73"
"57108","73"
"13202","73"
"36117","73"
"46268","73"
"44308","73"
"63121","73"
"92111","73"
"15701","73"
"46220","73"
"15213","73"
"39201","72"
"03062","72"
"55121","72"
"06095","72"
"53226","72"
"89701","72"
"66214","72"
"97703","72"
"70508","72"
"58701","72"
"94121","72"
"95762","72"
"33065","72"
"75033","72"
"23451","72"
"57103","72"
"20816","72"
"85710","72"
"48083","71"
"90740","71"
"43054","71"
"43016","71"
"80439","71"
"77077-2099","71"
"77048","71"
"34103","71"
"60143","71"
"80110","71"
"33907","71"
"98402","71"
"48823","71"
"33441","71"
"77006","71"
"91730","71"
"27409","71"
"48331","71"
"80127","71"
"42104","71"
"06807","71"
"34786","71"
"47708","70"
"06405","70"
"93111","70"
"95476","70"
"19456","70"
"95630","70"
"07016","70"
"01845","70"
"29201","70"
"30024","70"
"75025","70"
"55331","70"
"45040","70"
"11210","70"
"02144","70"
"19702","69"
"15108","69"
"33801","69"
"66202","69"
"85003","69"
"74135","69"
"53711","69"
"22042","69"
"10260","69"
"80228","69"
"12866","69"
"60612","69"
"27607","69"
"33323","68"
"87109","68"
"16801","68"
"98072","68"
"37801","68"
"40509","68"
"84010","68"
"55431","68"
"80002","68"
"75214","68"
"17603","67"
"75287","67"
"07090","67"
"33414","67"
"35205","67"
"14850","67"
"14623","67"
"77339","67"
"80033","67"
"11030","67"
"20016","67"
"30269","67"
"08816","67"
"32960","67"
"23452","67"
"92806","67"
"10175","67"
"20004-2505","67"
"97202","67"
"33020","67"
"85226","67"
"80129","67"
"99503","66"
"63103","66"
"85282","66"
"63005","66"
"52499","66"
"89144","66"
"98007","66"
"01720","66"
"45249","66"
"98660","66"
"03842","66"
"92708","66"
"28712","66"
"33076","66"
"80026","66"
"94506","66"
"94705","66"
"KY1-9002","66"
"19482","65"
"68131","65"
"07728","65"
"60618","65"
"02117","65"
"90502","65"
"53212","65"
"29577","65"
"92110","65"
"89108","65"
"33426","65"
"95125","65"
"48075","64"
"44236","64"
"02129","64"
"07675","64"
"84124","64"
"75002","64"
"66219","64"
"68144","64"
"97225","64"
"28031","64"
"78733","64"
"89147","64"
"78613","64"
"94131","64"
"32835","64"
"98037","64"
"30307","64"
"02917","63"
"02155","63"
"07458","63"
"91406","63"
"93001","63"
"30324","63"
"92647","63"
"85020","63"
"94061","63"
"80524","63"
"70433","63"
"84119","63"
"76116","63"
"80920","63"
"10533","63"
"06107","63"
"90094","63"
"84057","63"
"30345","62"
"08876","62"
"28801","62"
"77072","62"
"87102","62"
"02906","62"
"90015","62"
"19317","62"
"92081","62"
"32963","62"
"30361","62"
"97229","62"
"45342","62"
"97034","62"
"30093","62"
"97062","62"
"30040","62"
"07417","62"
"44130","62"
"10075","62"
"77494","62"
"99501","62"
"01960","61"
"53214","61"
"83814","61"
"40207","61"
"20147","61"
"98021","61"
"92807","61"
"33181","61"
"90035","61"
"78741","61"
"37129","61"
"92625","61"
"41017","61"
"33629","61"
"90027","61"
"42141","61"
"02062","60"
"11576","60"
"01945","60"
"15222-3779","60"
"93065","60"
"84601","60"
"97070","60"
"27804","60"
"07068","60"
"29615","60"
"80906","60"
"33624","60"
"85027","60"
"84109","60"
"94618","60"
"33702","60"
"33326","60"
"44718","60"
"30041","60"
"92617","60"
"01821","59"
"20171-4600","59"
"60670","59"
"19382","59"
"87505","59"
"33064","59"
"60302","59"
"89703","59"
"37922","59"
"33067","59"
"27605","59"
"07981","59"
"60640","59"
"95126","59"
"90068","59"
"27606","59"
"23606","59"
"95403","59"
"97005","59"
"78745","59"
"55405","59"
"60561","59"
"82834","59"
"07073","58"
"30030","58"
"11553","58"
"63132","58"
"33611","58"
"60007","58"
"77036","58"
"84103","58"
"02134","58"
"75087","58"
"27608","58"
"34110","58"
"02199-8069","58"
"77058","58"
"78757","58"
"33149","58"
"50325","58"
"48301","58"
"91316","58"
"02446","58"
"19806","58"
"46250","57"
"30329","57"
"84115","57"
"44720","57"
"23059","57"
"89129","57"
"70002","57"
"29708","57"
"37210","57"
"53051","57"
"02493","57"
"91748","57"
"85284","57"
"33122","57"
"83646","57"
"48152","57"
"01778","57"
"12211","57"
"20706","57"
"80020","57"
"93103","57"
"78664","57"
"43201","57"
"94127","57"
"77450","57"
"68130","57"
"80538","57"
"90004","57"
"34202","57"
"08002","56"
"45459","56"
"10314","56"
"55126","56"
"02445","56"
"32114","56"
"14068","56"
"94598","56"
"87110","56"
"80501","56"
"92688","56"
"75028","56"
"12180","56"
"44060","56"
"77379","56"
"20003","56"
"90703","56"
"44286","56"
"72703","56"
"19146","56"
"10022-3598","56"
"55113","55"
"90012","55"
"63124","55"
"07677","55"
"03110","55"
"92704","55"
"81657","55"
"80104","55"
"28803","55"
"08057","55"
"63841","55"
"28403","55"
"43221","55"
"08053","55"
"78744","55"
"76039","55"
"98201","55"
"90278","55"
"94507","55"
"98011","55"
"48236","55"
"47130","55"
"28255-7137","55"
"02030","55"
"76210","55"
"02154","54"
"52401","54"
"11735","54"
"94577","54"
"10605","54"
"84062","54"
"77041","54"
"75007","54"
"43085","54"
"07626","54"
"73120","54"
"26330","54"
"94124","54"
"94520","54"
"84104","54"
"76117","54"
"10543","54"
"10173","54"
"30349","54"
"83014","54"
"63108","54"
"46038","54"
"10302-1205","54"
"77584","54"
"84770","53"
"48105","53"
"60025","53"
"07087","53"
"80123","53"
"14450","53"
"91360","53"
"38138","53"
"15258","53"
"80234","53"
"92627","53"
"98501","53"
"80403","53"
"92649","53"
"60540","53"
"07052","53"
"03301","53"
"10027","53"
"95066","53"
"81301","53"
"94502","53"
"91502","53"
"49684","53"
"55413","53"
"84042","53"
"94122","53"
"78727","53"
"94945","53"
"84004","53"
"90077","53"
"58103","52"
"52556","52"
"19720","52"
"44092","52"
"66207","52"
"08401","52"
"48202","52"
"33014","52"
"98199","52"
"21031","52"
"48025","52"
"76104","52"
"60559","52"
"01886","52"
"33312","52"
"92106","52"
"77477","52"
"33407","52"
"43065","52"
"28117","52"
"92126","52"
"80223","52"
"50309-3023","52"
"58104","52"
"23233","51"
"75701","51"
"55125","51"
"08854","51"
"74114","51"
"60089","51"
"94568","51"
"92260","51"
"11545","51"
"95037","51"
"95119","51"
"92821","51"
"78212","51"
"85750","51"
"10801","51"
"85044","51"
"77459","51"
"33411","51"
"47906","51"
"37072","51"
"60169","51"
"26003","50"
"19301","50"
"35806","50"
"46290","50"
"44143","50"
"66085","50"
"80290","50"
"72223","50"
"07306","50"
"08543-9011","50"
"19899","50"
"01923","50"
"48375","50"
"19063","50"
"02061","50"
"94116","50"
"29063","50"
"59718","50"
"83002","50"
"92010","50"
"85209","50"
"32901","49"
"49423","49"
"06702","49"
"22031","49"
"38125","49"
"55408","49"
"83713","49"
"36104","49"
"40511","49"
"90014","49"
"53233","49"
"84092","49"
"94949","49"
"80239","49"
"76006","49"
"34695","49"
"15220","49"
"43082","49"
"02478","49"
"83714","49"
"00646","49"
"21090","48"
"43220","48"
"75067","48"
"85014","48"
"11232","48"
"10570","48"
"90301","48"
"90505","48"
"90026","48"
"84321","48"
"27604","48"
"33619","48"
"78229","48"
"92503","48"
"97006","48"
"45209","48"
"53092","48"
"80504","48"
"60048","48"
"78751","48"
"44107","48"
"94952","48"
"30306","48"
"76132","48"
"50010","48"
"98607","48"
"23103","48"
"92620","48"
"29455","48"
"46227","48"
"28273","48"
"92867","48"
"80134","48"
"27617","48"
"02185-9048","48"
"15086-7561","47"
"10015","47"
"06082","47"
"22901","47"
"32805","47"
"30084","47"
"47201","47"
"19438","47"
"06927","47"
"43659","47"
"95124","47"
"92590","47"
"94559","47"
"02038","47"
"40206","47"
"85040","47"
"28262","47"
"11577","47"
"20015","47"
"39211","47"
"80634","47"
"30043","47"
"28401","47"
"75226","47"
"06109","47"
"46260","47"
"73105","47"
"64150","47"
"60195","47"
"44023","47"
"98161","47"
"55436","47"
"90402","47"
"92648","47"
"94005","47"
"98275","47"
"73107","47"
"28208","47"
"77219","47"
"23223","47"
"67226","46"
"06002","46"
"45206","46"
"33762","46"
"53223","46"
"07733","46"
"92805","46"
"20770","46"
"60566","46"
"95825","46"
"20024","46"
"07663","46"
"93309","46"
"73126","46"
"91342","46"
"73114","46"
"33331","46"
"23320","46"
"46410","46"
"63110","46"
"15217","46"
"80121","46"
"75022","46"
"73104","46"
"27705","46"
"80212","46"
"27516","46"
"35630","46"
"43615","46"
"33073","46"
"80220","46"
"27518","46"
"80122","46"
"90039","46"
"92117","46"
"55369","46"
"57006","46"
"37206","46"
"100196092","46"
"32224","45"
"80907","45"
"48309","45"
"06033","45"
"80231","45"
"56001","45"
"75040","45"
"02840","45"
"23607","45"
"32804","45"
"93923","45"
"02127","45"
"08648","45"
"59901","45"
"27410","45"
"68506","45"
"70161","45"
"60154","45"
"19130","45"
"11206","45"
"68124","45"
"24060","45"
"30214","45"
"11559","45"
"27104","45"
"44125","45"
"98144","45"
"84663","45"
"33325","45"
"60608","45"
"34240","45"
"72762-6999","45"
"55345","44"
"54956","44"
"20785","44"
"06810","44"
"11230","44"
"77018","44"
"95472","44"
"07430","44"
"94550","44"
"33334","44"
"20175","44"
"60004","44"
"92562","44"
"17403","44"
"15146-2792","44"
"55114","44"
"92692","44"
"01890","44"
"28405","44"
"82601","44"
"27105","44"
"78288","44"
"66208","44"
"89434","44"
"22911","44"
"83340","44"
"16803","44"
"98020","44"
"92104","44"
"43230","44"
"29910","44"
"98188","44"
"44106","44"
"30312","44"
"23220","44"
"94609","44"
"75077","44"
"73112","43"
"19020","43"
"58501","43"
"05403","43"
"07662","43"
"76710","43"
"90670","43"
"33755","43"
"66206","43"
"94551","43"
"90040","43"
"15146","43"
"91761","43"
"30501","43"
"91030","43"
"80108","43"
"07922","43"
"06883","43"
"45069","43"
"77845","43"
"63368","43"
"97124","43"
"85711","43"
"15201","43"
"47882","43"
"98116","43"
"33062","43"
"60076","43"
"78641","43"
"10514","43"
"19006","43"
"33610","43"
"27519","43"
"35213","43"
"15241","43"
"84790","43"
"55424","43"
