accession_number,filename,file_date,file_type,cik
000095012302004775,y59002a1s-3a.txt,2002-05-07,S-3/A,0001172647
000095012302004775,y59002a1s-3a.txt,2002-05-07,S-3/A,0001172645
000095012302004775,y59002a1s-3a.txt,2002-05-07,S-3/A,0001172644
000095012302004775,y59002a1s-3a.txt,2002-05-07,S-3/A,0001172643
000095012302004775,y59002a1s-3a.txt,2002-05-07,S-3/A,0001172642
000095012302004775,y59002a1s-3a.txt,2002-05-07,S-3/A,0001172641
000095012302004775,y59002a1s-3a.txt,2002-05-07,S-3/A,0001172640
000095012302004775,y59002a1s-3a.txt,2002-05-07,S-3/A,0001172639
000095012302004775,y59002a1s-3a.txt,2002-05-07,S-3/A,0001169640
000095012302004775,y59002a1s-3a.txt,2002-05-07,S-3/A,0001169645
000095012302004775,y59002a1s-3a.txt,2002-05-07,S-3/A,0001169644
000095012302004775,y59002a1s-3a.txt,2002-05-07,S-3/A,0001169642
000095012302004775,y59002a1s-3a.txt,2002-05-07,S-3/A,0001142375
000095012302004775,y59002a1s-3a.txt,2002-05-07,S-3/A,0001142374
000095012302004775,y59002a1s-3a.txt,2002-05-07,S-3/A,0001142373
000095012302004775,y59002a1s-3a.txt,2002-05-07,S-3/A,0001142372
000095012302004775,y59002a1s-3a.txt,2002-05-07,S-3/A,0001142371
000095012302004775,y59002a1s-3a.txt,2002-05-07,S-3/A,0001142370
000095012302004775,y59002a1s-3a.txt,2002-05-07,S-3/A,0001142369
000095012302004775,y59002a1s-3a.txt,2002-05-07,S-3/A,0001142368
000095012302004775,y59002a1s-3a.txt,2002-05-07,S-3/A,0001142367
000095012302004775,y59002a1s-3a.txt,2002-05-07,S-3/A,0001142366
000095012302004775,y59002a1s-3a.txt,2002-05-07,S-3/A,0001142365
000095012302004775,y59002a1s-3a.txt,2002-05-07,S-3/A,0001142363
000095012302004775,y59002a1s-3a.txt,2002-05-07,S-3/A,0001142362
000095012302004775,y59002a1s-3a.txt,2002-05-07,S-3/A,0001142361
000095012302004775,y59002a1s-3a.txt,2002-05-07,S-3/A,0001142360
000095012302004775,y59002a1s-3a.txt,2002-05-07,S-3/A,0001142359
000095012302004775,y59002a1s-3a.txt,2002-05-07,S-3/A,0001142358
000095012302004775,y59002a1s-3a.txt,2002-05-07,S-3/A,0001142357
000095012302004775,y59002a1s-3a.txt,2002-05-07,S-3/A,0001142356
000095012302004775,y59002a1s-3a.txt,2002-05-07,S-3/A,0001142355
000095012302004775,y59002a1s-3a.txt,2002-05-07,S-3/A,0001142353
000095012302004775,y59002a1s-3a.txt,2002-05-07,S-3/A,0001142352
000095012302004775,y59002a1s-3a.txt,2002-05-07,S-3/A,0001142351
000095012302004775,y59002a1s-3a.txt,2002-05-07,S-3/A,0001142350
000095012302004775,y59002a1s-3a.txt,2002-05-07,S-3/A,0001142349
000095012302004775,y59002a1s-3a.txt,2002-05-07,S-3/A,0001142346
000095012302004775,y59002a1s-3a.txt,2002-05-07,S-3/A,0001142345
000095012302004775,y59002a1s-3a.txt,2002-05-07,S-3/A,0001142344
000095012302004775,y59002a1s-3a.txt,2002-05-07,S-3/A,0001142343
000095012302004775,y59002a1s-3a.txt,2002-05-07,S-3/A,0001142342
000095012302004775,y59002a1s-3a.txt,2002-05-07,S-3/A,0001142340
000095012302004775,y59002a1s-3a.txt,2002-05-07,S-3/A,0001142337
000095012302004775,y59002a1s-3a.txt,2002-05-07,S-3/A,0001142330
