accession_number,filename,file_date,file_type,cik
000089180401502128,file002.txt,2001-11-26,485BPOS,0000896673
000089180401502129,file002.txt,2001-11-26,485BPOS,0000896674
000089180401502131,file002.txt,2001-11-26,485BPOS,0000896712
000089180401502134,file002.txt,2001-11-26,485BPOS,0000896917
000089180401502149,file002.txt,2001-11-26,485BPOS,0000896348
000089180401502146,file002.txt,2001-11-26,485BPOS,0000896317
000101576901500321,exhibitunified.txt,2001-12-03,EX-10.2,0001020173
000089161801502655,f77852e10-q.htm,2001-12-18,10-Q,0000786110
000092701601504240,d10q.txt,2001-12-12,10-Q,0000357020
000095014401510309,g73405e10-k405.txt,2001-12-28,10-K405,0000882287
000089180401502386,file002.txt,2001-12-24,485BPOS,0000897393
000089180401502367,file002.txt,2001-12-24,485BPOS,0000821224
000089180401502394,file002.txt,2001-12-24,485BPOS,0000896539
000089180401502377,file002.txt,2001-12-24,485BPOS,0000896953
000089180401502371,file002.txt,2001-12-24,485BPOS,0000896715
000089180401502363,file002.txt,2001-12-24,485BPOS,0000798561
000089180401502364,file002.txt,2001-12-24,485BPOS,0000807436
000089180401502382,file002.txt,2001-12-24,485BPOS,0000838457
000089180401502384,file002.txt,2001-12-24,485BPOS,0000893011
000089180401502372,file002.txt,2001-12-24,485BPOS,0000896895
000089180401502378,file002.txt,2001-12-24,485BPOS,0000896954
000089180401502391,file002.txt,2001-12-24,485BPOS,0000896351
000089180401502368,file002.txt,2001-12-24,485BPOS,0000896675
000089180401502365,file002.txt,2001-12-24,485BPOS,0000807438
000089180401502393,file002.txt,2001-12-24,485BPOS,0000896353
000089180401502379,file002.txt,2001-12-24,485BPOS,0001024841
000089180401502395,file002.txt,2001-12-24,485BPOS,0000896540
000089180401502381,file002.txt,2001-12-24,485BPOS,0001024886
000089180401502383,file002.txt,2001-12-24,485BPOS,0000868398
000089180401502366,file002.txt,2001-12-24,485BPOS,0000807434
000089180401502388,file002.txt,2001-12-24,485BPOS,0000897395
000089180401502380,file002.txt,2001-12-24,485BPOS,0001024849
000089180401502385,file002.txt,2001-12-24,485BPOS,0000896292
000089180401502387,file002.txt,2001-12-24,485BPOS,0000897394
000089180401502396,file002.txt,2001-12-24,485BPOS,0000896569
000089180401502392,file002.txt,2001-12-24,485BPOS,0000896352
000089180401502376,file002.txt,2001-12-24,485BPOS,0000896942
