accession_number,filename,file_date,file_type,cik,display_name
000114420406012991,v039217_20f.txt,2006-03-31,20-F,0001025561,MER TELEMANAGEMENT SOLUTIONS LTD  (CIK 0001025561)
000095013406004928,f18224e10vk.htm,2006-03-14,10-K,0000851310,HARMONIC INC  (HLIT)  (CIK 0000851310)
000117891306000510,zk62344.htm,2006-03-27,20-F,0001029581,BLUEPHOENIX SOLUTIONS LTD  (CIK 0001029581)
000113131206000075,sb2dft17.htm,2006-03-20,SB-2/A,0001131312,"ZION OIL & GAS INC  (ZNOG, ZNOGW)  (CIK 0001131312)"
000113131206000070,sb2dft16.htm,2006-03-17,SB-2,0001131312,"ZION OIL & GAS INC  (ZNOG, ZNOGW)  (CIK 0001131312)"
000114420406012510,wintegras1.htm,2006-03-30,S-1/A,0001109925,WINTEGRA INC  (CIK 0001109925)
000114420406012298,v038283_20f.htm,2006-03-30,20-F,0000701544,ECI TELECOM LTD/  (CIK 0000701544)
000117891306000518,zk62291.htm,2006-03-29,10-K,0000731859,AMPAL-AMERICAN ISRAEL CORP  (CIK 0000731859)
000095012306002743,y17745fv1.htm,2006-03-08,F-1,0001297627,Saifun Semiconductors Ltd.  (CIK 0001297627)
000095012306004003,y17745b1e424b1.htm,2006-03-31,424B1,0001297627,Saifun Semiconductors Ltd.  (CIK 0001297627)
000095012306003530,y17745a1fv1za.htm,2006-03-22,F-1/A,0001297627,Saifun Semiconductors Ltd.  (CIK 0001297627)
000110465906025135,a06-2721_110k.htm,2006-04-14,10-K,0001114999,RADVIEW SOFTWARE LTD  (CIK 0001114999)
000117891306000674,zk62415.txt,2006-04-17,F-3,0001029581,BLUEPHOENIX SOLUTIONS LTD  (CIK 0001029581)
000114420406013683,v039135_20f.htm,2006-04-04,20-F,0001105519,RADVISION LTD  (CIK 0001105519)
000113131206000085,sb2dft20.htm,2006-04-25,SB-2/A,0001131312,"ZION OIL & GAS INC  (ZNOG, ZNOGW)  (CIK 0001131312)"
000087677906000011,magic2005form20f.htm,2006-04-05,20-F,0000876779,MAGIC SOFTWARE ENTERPRISES LTD  (MGIC)  (CIK 0000876779)
000117891306000649,zk62386.htm,2006-04-11,20-F,0001026266,TTI TEAM TELECOM INTERNATIONAL LTD  (CIK 0001026266)
000117891306000689,zk62405.txt,2006-04-21,20-F,0001005699,VOCALTEC COMMUNICATIONS LTD  (CIK 0001005699)
000114420406016420,v040416s1a.htm,2006-04-24,S-1/A,0001109925,WINTEGRA INC  (CIK 0001109925)
000095012306004509,y18324e20vf.htm,2006-04-11,20-F,0001297627,Saifun Semiconductors Ltd.  (CIK 0001297627)
000120919106029612,boc05361_01dlk.xml,2006-05-12,4,0000884130,CHROMCRAFT REVINGTON INC  (CIK 0000884130)
000120919106029612,boc05361_01dlk.xml,2006-05-12,4,0000903198,KOLB DAVID L  (CIK 0000903198)
000120919106029609,boc05361_01jrh.xml,2006-05-12,4,0000884130,CHROMCRAFT REVINGTON INC  (CIK 0000884130)
000120919106029609,boc05361_01jrh.xml,2006-05-12,4,0001023863,HESSE JOHN R  (CIK 0001023863)
000120919106029616,boc05361_01jds.xml,2006-05-12,4,0000884130,CHROMCRAFT REVINGTON INC  (CIK 0000884130)
000120919106029616,boc05361_01jds.xml,2006-05-12,4,0001201492,SWIFT JOHN D  (CIK 0001201492)
000120919106029613,boc05361_01rhb.xml,2006-05-12,4,0000884130,CHROMCRAFT REVINGTON INC  (CIK 0000884130)
000120919106029613,boc05361_01rhb.xml,2006-05-12,4,0001298677,Butler Ronald H  (CIK 0001298677)
000120919106029614,boc05361_01tlm.xml,2006-05-12,4,0000884130,CHROMCRAFT REVINGTON INC  (CIK 0000884130)
000120919106029614,boc05361_01tlm.xml,2006-05-12,4,0001197085,MULLETT  THEODORE L  (CIK 0001197085)
000120919106029611,boc05361_01lpk.xml,2006-05-12,4,0000884130,CHROMCRAFT REVINGTON INC  (CIK 0000884130)
000120919106029611,boc05361_01lpk.xml,2006-05-12,4,0001193043,KUNZ LARRY P  (CIK 0001193043)
000120919106029615,boc05361_01crs.xml,2006-05-12,4,0000884130,CHROMCRAFT REVINGTON INC  (CIK 0000884130)
000120919106029615,boc05361_01crs.xml,2006-05-12,4,0001346422,Stokely Craig R  (CIK 0001346422)
000119312506112575,d10q.htm,2006-05-15,10-Q,0000833225,DIVERSIFIED FUTURES FUND L.P.  (CIK 0000833225)
000117891306000844,zk62476.txt,2006-05-15,F-3/A,0001026266,TTI TEAM TELECOM INTERNATIONAL LTD  (CIK 0001026266)
000119312506112542,d10q.htm,2006-05-15,10-Q,0001051823,WORLD MONITOR TRUST SERIES B  (CIK 0001051823)
000119312506112583,d10q.htm,2006-05-15,10-Q,0001005006,FUTURES STRATEGIC TRUST  (CIK 0001005006)
000119312506112566,d10q.htm,2006-05-15,10-Q,0000926805,DIVERSIFIED FUTURES TRUST I  (CIK 0000926805)
000119312506112547,d10q.htm,2006-05-15,10-Q,0001090697,WORLD MONITOR TRUST II SERIES D  (CIK 0001090697)
000119312506112548,d10q.htm,2006-05-15,10-Q,0001090701,WORLD MONITOR TRUST II SERIES E  (CIK 0001090701)
000119312506112607,d10q.htm,2006-05-15,10-Q,0001019561,KENMAR GLOBAL TRUST  (CIK 0001019561)
000083791906000009,ef10qfinal5-15.txt,2006-05-15,10-Q,0000837919,EVEREST FUND L P  (CIK 0000837919)
000119312506112530,d10q.htm,2006-05-15,10-Q,0001051822,WORLD MONITOR TRUST SERIES A  (CIK 0001051822)
000119312506112558,d10q.htm,2006-05-15,10-Q,0001090702,WORLD MONITOR TRUST II SERIES F  (CIK 0001090702)
000119312506112508,d10q.htm,2006-05-15,10-Q,0001345989,World Monitor Trust III - Series H  (CIK 0001345989)
000119312506112514,d10q.htm,2006-05-15,10-Q,0001345990,World Monitor Trust III - Series I  (CIK 0001345990)
000119312506112504,d10q.htm,2006-05-15,10-Q,0001345992,World Monitor Trust III - Series G  (CIK 0001345992)
000117891306000963,zk62544.txt,2006-05-30,F-3/A,0001029581,BLUEPHOENIX SOLUTIONS LTD  (CIK 0001029581)
000119312506112520,d10q.htm,2006-05-15,10-Q,0001345991,World Monitor Trust III - Series J  (CIK 0001345991)
000117891306000761,zk62444.htm,2006-05-02,20-F,0001064411,BVR SYSTEMS 1998 LTD  (CIK 0001064411)
000114420406022377,v044193_f-3a.htm,2006-05-24,F-3/A,0000895361,M-SYSTEMS FLASH DISK PIONEERS LTD  (CIK 0000895361)
000114420406021549,v043782_f-3a.htm,2006-05-19,F-3/A,0000895361,M-SYSTEMS FLASH DISK PIONEERS LTD  (CIK 0000895361)
000090951806000468,mv5-4_f3a.txt,2006-05-05,F-3/A,0000895361,M-SYSTEMS FLASH DISK PIONEERS LTD  (CIK 0000895361)
000091652906000033,arotech10q-2006q1.htm,2006-05-15,10-Q,0000916529,AROTECH CORP  (CIK 0000916529)
000095013406009404,f20193e10vq.htm,2006-05-10,10-Q,0000851310,HARMONIC INC  (HLIT)  (CIK 0000851310)
000117891306000765,zk62292.htm,2006-05-02,10KSB,0001069563,DEFENSE INDUSTRIES INTERNATIONAL INC  (CIK 0001069563)
000113131206000089,sb2dft26.htm,2006-05-24,SB-2/A,0001131312,"ZION OIL & GAS INC  (ZNOG, ZNOGW)  (CIK 0001131312)"
000117891306000870,zk62503.htm,2006-05-17,20-F,0001003935,"NICE SYSTEMS LTD  (NICE, NCSYF)  (CIK 0001003935)"
000117891306000996,zk62568.htm,2006-05-31,424B3,0001011664,ELBIT VISION SYSTEMS LTD  (CIK 0001011664)
000117891306000991,zk62526.htm,2006-05-31,F-3,0001011664,ELBIT VISION SYSTEMS LTD  (CIK 0001011664)
000117891306000826,zk62491.htm,2006-05-11,POS AM,0001069563,DEFENSE INDUSTRIES INTERNATIONAL INC  (CIK 0001069563)
000089843206000458,nbform_ncsr.txt,2006-05-08,N-CSRS,0000044402,NEUBERGER BERMAN EQUITY FUNDS  (CIK 0000044402)
000095013606004240,file001.htm,2006-05-25,424B2,0000895361,M-SYSTEMS FLASH DISK PIONEERS LTD  (CIK 0000895361)
000114420406017906,v041304s1a.htm,2006-05-02,S-1/A,0001109925,WINTEGRA INC  (CIK 0001109925)
000114420406019994,v042078s1a.htm,2006-05-12,S-1/A,0001109925,WINTEGRA INC  (CIK 0001109925)
000117891306001112,zk62647.htm,2006-06-20,424B3,0001026266,TTI TEAM TELECOM INTERNATIONAL LTD  (CIK 0001026266)
000115752306006406,a5177089.htm,2006-06-27,20-F,0001095747,JACADA LTD  (CIK 0001095747)
000092242306000879,kl06032.htm,2006-06-13,424B3,0001029581,BLUEPHOENIX SOLUTIONS LTD  (CIK 0001029581)
000117891306001087,zk62580.htm,2006-06-15,20-F,0001096197,ECTEL LTD  (CIK 0001096197)
000117891306001167,zk62575.htm,2006-06-28,20-F,0001005516,BOS BETTER ONLINE SOLUTIONS LTD  (BOSC)  (CIK 0001005516)
000100371506000228,bailard033106ncsr.htm,2006-06-09,N-CSR,0000866525,BAILARD OPPORTUNITY FUND GROUP INC  (CIK 0000866525)
000117891306001179,zk62672.txt,2006-06-28,424B3,0001005699,VOCALTEC COMMUNICATIONS LTD  (CIK 0001005699)
000117891306001183,zk62574.htm,2006-06-29,20-F,0001016837,BLUE SQUARE ISRAEL LTD /ADR/  (CIK 0001016837)
000117891306001053,zk62601.txt,2006-06-09,F-3,0001005699,VOCALTEC COMMUNICATIONS LTD  (CIK 0001005699)
000095012306008433,y22532exv99wd.htm,2006-06-30,EX-99.D,0000052749,ISRAEL STATE OF  (CIK 0000052749)
000117891306001173,zk62671.txt,2006-06-28,20-F,0000808439,TAT TECHNOLOGIES LTD  (TATT)  (CIK 0000808439)
000117891306001177,zk62582.htm,2006-06-28,20-F,0001024672,ELTEK LTD  (ELTK)  (CIK 0001024672)
000117891306001031,zk62608.htm,2006-06-08,10KSB/A,0001069563,DEFENSE INDUSTRIES INTERNATIONAL INC  (CIK 0001069563)
